COMMAND,PWD,TTY,USER,"_raw","_time","active_time",datalength,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dropped,eventtype,host,if,index,linecount,pfsense,punct,received,sent,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos,uid,v
,,,,"Nov 20 01:47:50 10.0.0.1 Nov 20 13:17:55 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,3614,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:47:50.000-0600",,12,1,20,47,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:47:35 10.0.0.1 Nov 20 13:17:40 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,3399,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:47:35.000-0600",,12,1,20,47,november,35,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:47:20 10.0.0.1 Nov 20 13:17:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,2571,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:47:20.000-0600",,12,1,20,47,november,20,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:47:05 10.0.0.1 Nov 20 13:17:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,2447,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:47:05.000-0600",,12,1,20,47,november,5,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:46:55 10.0.0.1 Nov 20 13:17:00 /usr/sbin/cron[29385]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:46:55.000-0600",,,1,20,46,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:46:50 10.0.0.1 Nov 20 13:16:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,1770,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:46:50.000-0600",,12,1,20,46,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:46:35 10.0.0.1 Nov 20 13:16:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,1445,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:46:35.000-0600",,12,1,20,46,november,35,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:46:20 10.0.0.1 Nov 20 13:16:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,49,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:46:20.000-0600",,12,1,20,46,november,20,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:46:05 10.0.0.1 Nov 20 13:16:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,64319,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:46:05.000-0600",,12,1,20,46,november,5,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:45:55 10.0.0.1 Nov 20 13:16:00 /usr/sbin/cron[6552]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:45:55.000-0600",,,1,20,45,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:45:50 10.0.0.1 Nov 20 13:15:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,63912,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:45:50.000-0600",,12,1,20,45,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:45:35 10.0.0.1 Nov 20 13:15:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,63350,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:45:35.000-0600",,12,1,20,45,november,35,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:45:20 10.0.0.1 Nov 20 13:15:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,62271,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:45:20.000-0600",,12,1,20,45,november,20,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:45:05 10.0.0.1 Nov 20 13:15:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,61973,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:45:05.000-0600",,12,1,20,45,november,5,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:44:55 10.0.0.1 Nov 20 13:15:00 /usr/sbin/cron[81861]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:44:55.000-0600",,,1,20,44,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:44:50 10.0.0.1 Nov 20 13:14:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,60839,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:44:50.000-0600",,12,1,20,44,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:44:35 10.0.0.1 Nov 20 13:14:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,60656,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:44:35.000-0600",,12,1,20,44,november,35,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:44:20 10.0.0.1 Nov 20 13:14:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,60176,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:44:20.000-0600",,12,1,20,44,november,20,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:44:05 10.0.0.1 Nov 20 13:14:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,59949,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:44:05.000-0600",,12,1,20,44,november,5,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:43:55 10.0.0.1 Nov 20 13:14:00 /usr/sbin/cron[58074]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:43:55.000-0600",,,1,20,43,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:43:49 10.0.0.1 Nov 20 13:13:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,58930,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:43:49.000-0600",,12,1,20,43,november,49,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:43:34 10.0.0.1 Nov 20 13:13:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,57995,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:43:34.000-0600",,12,1,20,43,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:43:19 10.0.0.1 Nov 20 13:13:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,56828,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:43:19.000-0600",,12,1,20,43,november,19,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:43:04 10.0.0.1 Nov 20 13:13:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,55334,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:43:04.000-0600",,12,1,20,43,november,4,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:42:55 10.0.0.1 Nov 20 13:13:00 /usr/sbin/cron[33031]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:42:55.000-0600",,,1,20,42,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:42:49 10.0.0.1 Nov 20 13:12:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,54215,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:42:49.000-0600",,12,1,20,42,november,49,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:42:34 10.0.0.1 Nov 20 13:12:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,54179,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:42:34.000-0600",,12,1,20,42,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:42:19 10.0.0.1 Nov 20 13:12:24 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,53574,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:42:19.000-0600",,12,1,20,42,november,19,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:42:04 10.0.0.1 Nov 20 13:12:09 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,52429,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:42:04.000-0600",,12,1,20,42,november,4,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:41:55 10.0.0.1 Nov 20 13:12:00 /usr/sbin/cron[10038]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:41:55.000-0600",,,1,20,41,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:41:49 10.0.0.1 Nov 20 13:11:54 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,51415,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:41:49.000-0600",,12,1,20,41,november,49,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:41:34 10.0.0.1 Nov 20 13:11:39 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,50014,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:41:34.000-0600",,12,1,20,41,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:41:19 10.0.0.1 Nov 20 13:11:23 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,48911,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:41:19.000-0600",,12,1,20,41,november,19,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:41:04 10.0.0.1 Nov 20 13:11:08 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,47411,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:41:04.000-0600",,12,1,20,41,november,4,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:40:55 10.0.0.1 Nov 20 13:11:00 /usr/sbin/cron[87516]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:40:55.000-0600",,,1,20,40,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:40:49 10.0.0.1 Nov 20 13:10:53 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,45983,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:40:49.000-0600",,12,1,20,40,november,49,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:40:34 10.0.0.1 Nov 20 13:10:38 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,44610,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:40:34.000-0600",,12,1,20,40,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:40:34 10.0.0.1 Nov 20 13:10:38 syslogd: sendto: Connection refused","2025-11-20T01:40:34.000-0600",,,1,20,40,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_:_:__",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:40:34 10.0.0.1 Nov 20 13:10:38 syslogd: sendto: Connection refused","2025-11-20T01:40:34.000-0600",,,1,20,40,november,34,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_:_:__",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:30:57 10.0.0.1 Nov 13 22:01:00 /usr/sbin/cron[28877]: (root) CMD (/usr/sbin/newsyslog)","2025-11-13T10:30:57.000-0600",,,10,13,30,november,57,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:30:57 10.0.0.1 Nov 13 22:01:00 /usr/sbin/cron[28877]: (root) CMD (/usr/sbin/newsyslog)","2025-11-13T10:30:57.000-0600",,,10,13,30,november,57,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:30:50 10.0.0.1 Nov 13 22:00:53 filterlog[14596]: 98,,,1758561049,em0,ip-option,block,in,4,0xc0,,1,0,0,DF,2,igmp,32,0.0.0.0,224.0.0.1,datalength=8 ","2025-11-13T10:30:50.000-0600",,8,10,13,30,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:30:50 10.0.0.1 Nov 13 22:00:53 filterlog[14596]: 98,,,1758561049,em0,ip-option,block,in,4,0xc0,,1,0,0,DF,2,igmp,32,0.0.0.0,224.0.0.1,datalength=8 ","2025-11-13T10:30:50.000-0600",,8,10,13,30,november,50,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:29:57 10.0.0.1 Nov 13 22:00:00 /usr/sbin/cron[4104]: (root) CMD (/usr/bin/nice -n20 /usr/local/sbin/expiretable -v -t 3600 virusprot)","2025-11-13T10:29:57.000-0600",,,10,13,29,november,57,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///_-_////_-_-__)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:29:57 10.0.0.1 Nov 13 22:00:00 /usr/sbin/cron[4104]: (root) CMD (/usr/bin/nice -n20 /usr/local/sbin/expiretable -v -t 3600 virusprot)","2025-11-13T10:29:57.000-0600",,,10,13,29,november,57,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///_-_////_-_-__)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:29:25 10.0.0.1 Nov 13 21:59:27 ntpd[42157]: duplicate or replay: org 0xecc085e6.68e96b4e does not match 0xecc085e7.702b6f96 from server@95.216.192.15","2025-11-13T10:29:25.000-0600",,,10,13,29,november,25,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:___:__.____.__@...",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 13 10:29:25 10.0.0.1 Nov 13 21:59:27 ntpd[42157]: duplicate or replay: org 0xecc085e6.68e96b4e does not match 0xecc085e7.702b6f96 from server@95.216.192.15","2025-11-13T10:29:25.000-0600",,,10,13,29,november,25,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:___:__.____.__@...",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
